Time,Temperature
13:2:13:731270,MAX31856 thermocouple test
13:2:13:735260,Thermocouple type: K Type
13:2:13:735909,295.33
13:2:13:806327,295.37
13:2:13:888597,295.35
13:2:13:970905,295.31
13:2:14:53282,295.37
13:2:14:135556,295.42
13:2:14:217640,295.43
13:2:14:300093,295.35
13:2:14:382605,295.35
13:2:14:464312,295.32
13:2:14:546792,295.35
13:2:14:628886,295.33
13:2:14:711278,295.26
13:2:14:793633,295.33
13:2:14:876173,295.38
13:2:14:958672,295.41
13:2:15:54525,295.39
13:2:15:136246,295.38
13:2:15:218524,295.35
13:2:15:301120,295.27
13:2:15:383445,295.30
13:2:15:465735,295.37
13:2:15:547968,295.42
13:2:15:630948,295.39
13:2:15:713280,295.35
13:2:15:795281,295.31
13:2:15:877486,295.26
13:2:15:960242,295.39
13:2:16:42689,295.38
13:2:16:124957,295.35
13:2:16:206836,295.43
13:2:16:288812,295.35
13:2:16:384397,295.39
13:2:16:466821,295.45
13:2:16:549077,295.35
13:2:16:631772,295.38
13:2:16:714579,295.32
13:2:16:796889,295.35
13:2:16:878881,295.43
13:2:16:960522,295.41
13:2:17:43108,295.35
13:2:17:125845,295.31
13:2:17:207973,295.38
13:2:17:290316,295.33
13:2:17:372606,295.38
13:2:17:454619,295.33
13:2:17:537348,295.30
13:2:17:619638,295.35
13:2:17:715397,295.31
13:2:17:797448,295.30
13:2:17:880140,295.31
13:2:17:962587,295.37
13:2:18:44261,295.35
13:2:18:127150,295.41
13:2:18:208844,295.37
13:2:18:290992,295.35
13:2:18:374173,295.35
13:2:18:456532,295.27
13:2:18:538605,295.38
13:2:18:620510,295.35
13:2:18:703154,295.35
13:2:18:785612,295.35
13:2:18:867896,295.31
13:2:18:950182,295.30
13:2:19:45205,295.33
13:2:19:128350,295.30
13:2:19:210212,295.35
13:2:19:292950,295.32
13:2:19:375306,295.35
13:2:19:457595,295.35
13:2:19:539909,295.30
13:2:19:622097,295.27
13:2:19:703971,295.35
13:2:19:786510,295.32
13:2:19:869230,295.32
13:2:19:951076,295.35
13:2:20:34438,295.39
13:2:20:115521,295.41
13:2:20:197927,295.43
13:2:20:280230,295.42
13:2:20:375995,295.37
13:2:20:458270,295.35
13:2:20:540846,295.35
13:2:20:623205,295.35
13:2:20:705228,295.35
13:2:20:787412,295.30
13:2:20:869776,295.32
13:2:20:952400,295.28
13:2:21:34701,295.35
13:2:21:116438,295.35
13:2:21:199227,295.37
13:2:21:281484,295.47
13:2:21:363785,295.43
13:2:21:446444,295.35
13:2:21:528738,295.33
13:2:21:610632,295.37
13:2:21:706470,295.30
13:2:21:788471,295.30
13:2:21:871295,295.33
13:2:21:954038,295.27
13:2:22:36244,295.28
13:2:22:118503,295.37
13:2:22:200434,295.37
13:2:22:283131,295.37
13:2:22:364924,295.38
13:2:22:447365,295.41
13:2:22:529701,295.35
13:2:22:612164,295.27
13:2:22:694796,295.30
13:2:22:777000,295.45
13:2:22:859209,295.38
13:2:22:940943,295.35
13:2:23:36929,295.33
13:2:23:119202,295.35
13:2:23:201077,295.43
13:2:23:284214,295.35
13:2:23:366725,295.37
13:2:23:448722,295.39
13:2:23:531230,295.35
13:2:23:613600,295.41
13:2:23:695927,295.38
13:2:23:778230,295.41
13:2:23:860316,295.35
13:2:23:942462,295.33
13:2:24:24617,295.35
13:2:24:106920,295.42
13:2:24:189679,295.35
13:2:24:272001,295.24
13:2:24:367769,295.27
13:2:24:449780,295.31
13:2:24:532072,295.35
13:2:24:614495,295.39
13:2:24:696516,295.42
13:2:24:779373,295.35
13:2:24:861524,295.35
13:2:24:946435,295.41
13:2:25:26083,295.31
13:2:25:107532,295.38
13:2:25:190349,295.31
13:2:25:272293,295.37
13:2:25:355531,295.38
13:2:25:437027,295.37
13:2:25:519577,295.31
13:2:25:601630,295.31
13:2:25:698031,295.31
13:2:25:780407,295.32
13:2:25:862504,295.37
13:2:25:944591,295.35
13:2:26:26844,295.39
13:2:26:108958,295.31
13:2:26:191579,295.35
13:2:26:274420,295.42
13:2:26:356461,295.39
13:2:26:438842,295.38
13:2:26:521258,295.37
13:2:26:603603,295.35
13:2:26:685230,295.32
13:2:26:768232,295.30
13:2:26:850556,295.30
13:2:26:932829,295.38
13:2:27:28290,295.42
13:2:27:110543,295.38
13:2:27:192616,295.38
13:2:27:274735,295.45
13:2:27:357360,295.43
13:2:27:439515,295.39
13:2:27:521791,295.32
13:2:27:604567,295.37
13:2:27:686566,295.37
13:2:27:768474,295.42
13:2:27:850702,295.35
13:2:27:933007,295.35
13:2:28:15351,295.37
13:2:28:97671,295.38
13:2:28:179980,295.37
13:2:28:262299,295.35
13:2:28:358425,295.38
13:2:28:441233,295.31
13:2:28:523637,295.28
13:2:28:605785,295.35
13:2:28:687753,295.39
13:2:28:770109,295.37
13:2:28:852248,295.35
13:2:28:935013,295.43
13:2:29:16823,295.35
13:2:29:99419,295.42
13:2:29:181715,295.37
13:2:29:264309,295.38
13:2:29:350505,295.37
13:2:29:428292,295.32
13:2:29:511050,295.26
13:2:29:593740,295.35
13:2:29:689430,295.37
13:2:29:771792,295.38
13:2:29:854092,295.38
13:2:29:935994,295.35
13:2:30:18552,295.41
13:2:30:100708,295.41
13:2:30:182320,295.38
13:2:30:265214,295.37
13:2:30:347499,295.39
13:2:30:429599,295.38
13:2:30:511911,295.38
13:2:30:594748,295.37
13:2:30:677110,295.32
13:2:30:759477,295.35
13:2:30:841805,295.35
13:2:30:923605,295.43
13:2:31:19234,295.38
13:2:31:101718,295.35
13:2:31:183801,295.35
13:2:31:266882,295.37
13:2:31:348790,295.35
13:2:31:431308,295.37
13:2:31:512844,295.35
13:2:31:595256,295.35
13:2:31:677577,295.37
13:2:31:759868,295.37
13:2:31:842447,295.39
13:2:31:925041,295.33
13:2:32:7324,295.28
13:2:32:89501,295.37
13:2:32:171799,295.42
13:2:32:254141,295.37
13:2:32:349867,295.37
13:2:32:431794,295.38
13:2:32:514197,295.33
13:2:32:596394,295.35
13:2:32:679408,295.33
13:2:32:761705,295.35
13:2:32:844043,295.37
13:2:32:926363,295.37
13:2:33:8672,295.33
13:2:33:90708,295.33
13:2:33:172708,295.41
13:2:33:254959,295.41
13:2:33:337464,295.38
13:2:33:419852,295.37
13:2:33:502246,295.35
13:2:33:584141,295.37
13:2:33:679920,295.32
13:2:33:762402,295.35
13:2:33:844803,295.33
13:2:33:927687,295.31
13:2:34:10047,295.35
13:2:34:92308,295.27
13:2:34:173897,295.37
13:2:34:256473,295.38
13:2:34:339058,295.42
13:2:34:421454,295.38
13:2:34:503707,295.38
13:2:34:586023,295.35
13:2:34:668225,295.35
13:2:34:750244,295.35
13:2:34:832936,295.37
13:2:34:915153,295.42
13:2:35:11216,295.31
13:2:35:93654,295.35
13:2:35:175056,295.30
13:2:35:257865,295.33
13:2:35:340665,295.33
13:2:35:422943,295.37
13:2:35:505242,295.33
13:2:35:587203,295.35
13:2:35:668753,295.42
13:2:35:751875,295.43
13:2:35:833567,295.43
13:2:35:916351,295.48
13:2:36:2889,295.42
13:2:36:81317,295.42
13:2:36:163963,295.47
13:2:36:245448,295.37
13:2:36:341285,295.37
13:2:36:423931,295.39
13:2:36:506257,295.35
13:2:36:588564,295.35
13:2:36:670740,295.30
13:2:36:752692,295.31
13:2:36:835088,295.33
13:2:36:917368,295.35
13:2:37:144,295.35
13:2:37:82491,295.39
13:2:37:164710,295.35
13:2:37:246926,295.37
13:2:37:329665,295.38
13:2:37:411813,295.37
13:2:37:493461,295.38
13:2:37:576290,295.42
13:2:37:671836,295.33
13:2:37:753962,295.38
13:2:37:836190,295.35
13:2:37:918623,295.32
13:2:38:661,295.35
13:2:38:83709,295.31
13:2:38:166029,295.39
13:2:38:247969,295.35
13:2:38:330454,295.31
13:2:38:412748,295.32
13:2:38:494784,295.35
13:2:38:577299,295.37
13:2:38:659756,295.42
13:2:38:741968,295.42
13:2:38:824340,295.39
13:2:38:906636,295.35
13:2:39:2540,295.35
13:2:39:84161,295.48
13:2:39:166486,295.43
13:2:39:249008,295.38
13:2:39:331362,295.39
13:2:39:413645,295.39
13:2:39:496534,295.38
13:2:39:578133,295.37
13:2:39:661139,295.35
13:2:39:743071,295.38
13:2:39:824868,295.38
13:2:39:907616,295.32
13:2:39:989865,295.38
13:2:40:72462,295.32
13:2:40:154063,295.37
13:2:40:236625,295.31
13:2:40:332522,295.32
13:2:40:414901,295.39
13:2:40:496920,295.35
13:2:40:579487,295.35
13:2:40:661595,295.30
13:2:40:743986,295.35
13:2:40:826895,295.42
13:2:40:909334,295.39
13:2:40:991603,295.38
13:2:41:73859,295.32
13:2:41:156032,295.43
13:2:41:237783,295.41
13:2:41:320560,295.37
13:2:41:403105,295.35
13:2:41:485599,295.39
13:2:41:567690,295.32
13:2:41:663632,295.37
13:2:41:745514,295.35
13:2:41:827591,295.30
13:2:41:909599,295.30
13:2:41:992701,295.35
13:2:42:74637,295.35
13:2:42:156970,295.30
13:2:42:239025,295.33
13:2:42:321043,295.35
13:2:42:404034,295.37
13:2:42:486667,295.37
13:2:42:568961,295.37
13:2:42:651284,295.42
13:2:42:733641,295.37
13:2:42:815970,295.33
13:2:42:897860,295.33
13:2:42:993853,295.27
13:2:43:76138,295.35
13:2:43:158093,295.42
13:2:43:240734,295.35
13:2:43:322950,295.37
13:2:43:405401,295.27
13:2:43:487428,295.30
13:2:43:569779,295.35
13:2:43:652149,295.30
13:2:43:734250,295.35
13:2:43:816845,295.33
13:2:43:899146,295.33
13:2:43:980748,295.41
13:2:44:63940,295.37
13:2:44:145971,295.33
13:2:44:228403,295.35
13:2:44:323712,295.41
13:2:44:406064,295.41
13:2:44:488733,295.37
13:2:44:570984,295.37
13:2:44:653323,295.32
13:2:44:735555,295.35
13:2:44:818133,295.37
13:2:44:900566,295.35
13:2:44:982827,295.31
13:2:45:64918,295.33
13:2:45:147213,295.35
13:2:45:228840,295.42
13:2:45:311898,295.30
13:2:45:394498,295.30
13:2:45:476350,295.35
13:2:45:558957,295.35
13:2:45:654167,295.31
13:2:45:736947,295.32
13:2:45:819244,295.38
13:2:45:901656,295.37
13:2:45:983907,295.38
13:2:46:65318,295.35
13:2:46:148047,295.35
13:2:46:230552,295.24
