Time,Temperature
13:0:50:578139,MAX31856 thermocouple test
13:0:50:581784,Thermocouple type: K Type
13:0:50:582437,295.39
13:0:50:647026,295.31
13:0:50:729482,295.35
13:0:50:811352,295.27
13:0:50:893979,295.35
13:0:50:976662,295.30
13:0:51:59023,295.33
13:0:51:141116,295.30
13:0:51:236647,295.35
13:0:51:318757,295.33
13:0:51:401314,295.38
13:0:51:483571,295.31
13:0:51:565909,295.33
13:0:51:648139,295.31
13:0:51:730640,295.35
13:0:51:813073,295.35
13:0:51:895028,295.27
13:0:51:977396,295.26
13:0:52:59222,295.22
13:0:52:142488,295.26
13:0:52:224293,295.28
13:0:52:306595,295.33
13:0:52:389069,295.31
13:0:52:471391,295.32
13:0:52:567462,295.37
13:0:52:649849,295.35
13:0:52:731986,295.30
13:0:52:814105,295.33
13:0:52:896923,295.38
13:0:52:978501,295.35
13:0:53:61489,295.35
13:0:53:143178,295.37
13:0:53:225671,295.35
13:0:53:308000,295.33
13:0:53:390301,295.28
13:0:53:472642,295.37
13:0:53:554713,295.33
13:0:53:637572,295.30
13:0:53:719793,295.35
13:0:53:802203,295.33
13:0:53:897159,295.33
13:0:53:979139,295.31
13:0:54:61490,295.30
13:0:54:143918,295.32
13:0:54:226203,295.41
13:0:54:308979,295.37
13:0:54:391231,295.24
13:0:54:473656,295.26
13:0:54:555662,295.35
13:0:54:637785,295.35
13:0:54:720368,295.30
13:0:54:802990,295.31
13:0:54:885264,295.39
13:0:54:967231,295.37
13:0:55:49342,295.30
13:0:55:131851,295.35
13:0:55:227716,295.27
13:0:55:310054,295.30
13:0:55:392336,295.33
13:0:55:474646,295.28
13:0:55:557019,295.31
13:0:55:639315,295.35
13:0:55:721607,295.37
13:0:55:804112,295.31
13:0:55:886181,295.24
13:0:55:968526,295.31
13:0:56:50852,295.33
13:0:56:133196,295.33
13:0:56:215461,295.32
13:0:56:298349,295.39
13:0:56:380674,295.30
13:0:56:463045,295.31
13:0:56:558592,295.37
13:0:56:640311,295.38
13:0:56:723350,295.41
13:0:56:805679,295.30
13:0:56:887876,295.35
13:0:56:970198,295.33
13:0:57:52247,295.31
13:0:57:134894,295.30
13:0:57:216591,295.31
13:0:57:299181,295.27
13:0:57:381896,295.28
13:0:57:464194,295.35
13:0:57:546599,295.39
13:0:57:628550,295.33
13:0:57:710616,295.33
13:0:57:793020,295.30
13:0:57:889208,295.32
13:0:57:971581,295.30
13:0:58:53362,295.28
13:0:58:136121,295.30
13:0:58:217448,295.27
13:0:58:299735,295.35
13:0:58:382443,295.30
13:0:58:464681,295.30
13:0:58:547303,295.28
13:0:58:629972,295.41
13:0:58:712031,295.33
13:0:58:794677,295.32
13:0:58:876452,295.39
13:0:58:959218,295.33
13:0:59:41591,295.30
13:0:59:123832,295.24
13:0:59:219080,295.24
13:0:59:301941,295.27
13:0:59:384081,295.35
13:0:59:466388,295.27
13:0:59:548637,295.27
13:0:59:631050,295.32
13:0:59:712829,295.30
13:0:59:795162,295.33
13:0:59:877813,295.33
13:0:59:959878,295.39
13:1:0:41908,295.41
13:1:0:124121,295.37
13:1:0:207330,295.35
13:1:0:288936,295.37
13:1:0:371299,295.37
13:1:0:453790,295.41
13:1:0:550034,295.32
13:1:0:632513,295.30
13:1:0:714710,295.37
13:1:0:797117,295.35
13:1:0:879465,295.24
13:1:0:961704,295.37
13:1:1:43562,295.39
13:1:1:125943,295.41
13:1:1:208358,295.28
13:1:1:290595,295.26
13:1:1:372975,295.27
13:1:1:455392,295.26
13:1:1:537427,295.33
13:1:1:619606,295.35
13:1:1:702462,295.31
13:1:1:784770,295.27
13:1:1:880983,295.35
13:1:1:962794,295.24
13:1:2:45164,295.33
13:1:2:126874,295.32
13:1:2:209385,295.30
13:1:2:291719,295.28
13:1:2:373491,295.27
13:1:2:456187,295.27
13:1:2:538990,295.35
13:1:2:621498,295.31
13:1:2:703121,295.30
13:1:2:785567,295.33
13:1:2:867956,295.32
13:1:2:950171,295.37
13:1:3:32762,295.31
13:1:3:114674,295.33
13:1:3:210248,295.33
13:1:3:293175,295.27
13:1:3:375502,295.31
13:1:3:457819,295.37
13:1:3:540216,295.35
13:1:3:622775,295.35
13:1:3:704893,295.32
13:1:3:786728,295.30
13:1:3:869597,295.27
13:1:3:951780,295.28
13:1:4:33863,295.27
13:1:4:115715,295.27
13:1:4:198266,295.26
13:1:4:280815,295.32
13:1:4:362927,295.35
13:1:4:445232,295.37
13:1:4:540467,295.39
13:1:4:622862,295.35
13:1:4:706095,295.35
13:1:4:788363,295.31
13:1:4:870132,295.31
13:1:4:952630,295.30
13:1:5:34532,295.30
13:1:5:117116,295.27
13:1:5:199278,295.32
13:1:5:281753,295.32
13:1:5:364095,295.28
13:1:5:446298,295.35
13:1:5:528670,295.31
13:1:5:611004,295.30
13:1:5:693253,295.31
13:1:5:775323,295.32
13:1:5:871243,295.28
13:1:5:953474,295.28
13:1:6:36199,295.27
13:1:6:118320,295.33
13:1:6:200694,295.31
13:1:6:283580,295.32
13:1:6:365713,295.37
13:1:6:447788,295.31
13:1:6:529581,295.31
13:1:6:611763,295.35
13:1:6:694246,295.27
13:1:6:776520,295.30
13:1:6:858781,295.37
13:1:6:941108,295.39
13:1:7:23875,295.32
13:1:7:106117,295.32
13:1:7:201922,295.35
13:1:7:284339,295.32
13:1:7:366344,295.24
13:1:7:448940,295.22
13:1:7:530732,295.31
13:1:7:613180,295.39
13:1:7:695582,295.27
13:1:7:778345,295.26
13:1:7:860666,295.30
13:1:7:943018,295.24
13:1:8:25470,295.30
13:1:8:107133,295.37
13:1:8:190049,295.38
13:1:8:272454,295.31
13:1:8:354214,295.33
13:1:8:436888,295.32
13:1:8:532734,295.35
13:1:8:614390,295.33
13:1:8:696574,295.31
13:1:8:778944,295.37
13:1:8:861423,295.31
13:1:8:943550,295.32
13:1:9:25952,295.33
13:1:9:108338,295.22
13:1:9:190652,295.33
13:1:9:272692,295.30
13:1:9:355264,295.37
13:1:9:437625,295.30
13:1:9:519834,295.28
13:1:9:602245,295.35
13:1:9:684294,295.31
13:1:9:767120,295.30
13:1:9:862925,295.30
13:1:9:945124,295.32
13:1:10:27257,295.27
13:1:10:109558,295.24
13:1:10:192514,295.22
13:1:10:274040,295.32
13:1:10:356562,295.26
13:1:10:439013,295.32
13:1:10:521250,295.27
13:1:10:603690,295.28
13:1:10:685389,295.35
13:1:10:768267,295.32
13:1:10:850444,295.30
13:1:10:932862,295.33
13:1:11:15295,295.30
13:1:11:97536,295.30
13:1:11:193027,295.27
13:1:11:275606,295.26
13:1:11:357921,295.24
13:1:11:440176,295.31
13:1:11:522613,295.32
13:1:11:604953,295.26
13:1:11:686746,295.26
13:1:11:770233,295.27
13:1:11:852283,295.35
13:1:11:934019,295.41
13:1:12:16575,295.35
13:1:12:98889,295.28
13:1:12:181439,295.26
13:1:12:263640,295.35
13:1:12:345886,295.35
13:1:12:427676,295.27
13:1:12:523984,295.32
13:1:12:606109,295.31
13:1:12:688421,295.35
13:1:12:770141,295.37
13:1:12:852802,295.38
13:1:12:935330,295.24
13:1:13:17656,295.32
13:1:13:99921,295.24
13:1:13:182572,295.21
13:1:13:264681,295.30
13:1:13:347333,295.27
13:1:13:429290,295.28
13:1:13:510960,295.26
13:1:13:593468,295.30
13:1:13:676155,295.27
13:1:13:758831,295.33
13:1:13:854212,295.35
13:1:13:936454,295.35
13:1:14:18881,295.35
13:1:14:101335,295.28
13:1:14:183260,295.27
13:1:14:265502,295.24
13:1:14:347783,295.30
13:1:14:430723,295.30
13:1:14:513205,295.32
13:1:14:595028,295.35
13:1:14:677731,295.37
13:1:14:760015,295.26
13:1:14:841488,295.32
13:1:14:924671,295.31
13:1:15:6721,295.35
13:1:15:88327,295.39
13:1:15:184270,295.35
13:1:15:266902,295.33
13:1:15:349659,295.35
13:1:15:431837,295.30
13:1:15:514154,295.22
13:1:15:596507,295.27
13:1:15:678035,295.28
13:1:15:760584,295.33
13:1:15:842979,295.30
13:1:15:925266,295.22
13:1:16:8138,295.30
13:1:16:90491,295.39
13:1:16:172494,295.35
13:1:16:254508,295.35
13:1:16:337440,295.27
13:1:16:418972,295.27
13:1:16:515404,295.28
13:1:16:597880,295.21
13:1:16:679996,295.28
13:1:16:761441,295.33
13:1:16:844109,295.30
13:1:16:925992,295.32
13:1:17:9031,295.31
13:1:17:91302,295.27
13:1:17:173657,295.30
13:1:17:255996,295.32
13:1:17:338112,295.33
13:1:17:420808,295.35
13:1:17:502443,295.30
13:1:17:585206,295.26
13:1:17:667842,295.30
13:1:17:750095,295.28
13:1:17:845609,295.24
13:1:17:927733,295.30
13:1:18:10586,295.24
13:1:18:92938,295.35
13:1:18:174816,295.30
13:1:18:257616,295.28
13:1:18:339849,295.35
13:1:18:421536,295.31
13:1:18:504707,295.30
13:1:18:586103,295.30
13:1:18:668511,295.27
13:1:18:750973,295.35
13:1:18:833203,295.30
13:1:18:915571,295.33
13:1:18:997291,295.33
13:1:19:80059,295.28
13:1:19:176053,295.33
13:1:19:258024,295.32
13:1:19:340775,295.35
13:1:19:423315,295.32
13:1:19:504863,295.33
13:1:19:587948,295.35
13:1:19:670020,295.37
13:1:19:752340,295.35
13:1:19:834921,295.31
13:1:19:917259,295.33
13:1:19:999604,295.30
13:1:20:81028,295.27
13:1:20:163543,295.26
13:1:20:246584,295.26
13:1:20:328127,295.28
13:1:20:410607,295.32
13:1:20:506014,295.32
13:1:20:588544,295.30
13:1:20:670830,295.31
13:1:20:752897,295.28
13:1:20:835993,295.28
13:1:20:918358,295.32
13:1:21:410,295.33
13:1:21:82084,295.32
13:1:21:164897,295.37
13:1:21:247422,295.39
13:1:21:329953,295.35
13:1:21:412323,295.31
13:1:21:494669,295.21
13:1:21:576097,295.28
13:1:21:658670,295.33
13:1:21:741534,295.32
13:1:21:836994,295.39
13:1:21:919537,295.33
13:1:22:1050,295.22
13:1:22:83403,295.33
13:1:22:165823,295.33
13:1:22:248009,295.30
13:1:22:330221,295.26
13:1:22:412772,295.28
13:1:22:495437,295.30
13:1:22:577802,295.35
13:1:22:660586,295.33
13:1:22:741928,295.33
13:1:22:824478,295.33
13:1:22:906770,295.35
13:1:22:988882,295.30
13:1:23:71437,295.35
13:1:23:167022,295.32
13:1:23:249868,295.32
13:1:23:331636,295.30
13:1:23:414535,295.32
13:1:23:496897,295.27
