Time,Temperature
00:10:25.733,297.67
00:10:25.812,297.66
00:10:25.895,297.74
00:10:25.977,297.70
00:10:26.059,297.60
00:10:26.142,297.60
00:10:26.224,297.59
00:10:26.307,297.62
00:10:26.402,297.67
00:10:26.485,297.62
00:10:26.567,297.70
00:10:26.649,297.60
00:10:26.732,297.48
00:10:26.814,297.52
00:10:26.896,297.61
00:10:26.979,297.55
00:10:27.061,297.59
00:10:27.143,297.56
00:10:27.226,297.52
00:10:27.308,297.52
00:10:27.390,297.60
00:10:27.473,297.55
00:10:27.555,297.48
00:10:27.637,297.52
00:10:27.733,297.56
00:10:27.815,297.49
00:10:27.898,297.55
00:10:27.980,297.56
00:10:28.062,297.53
00:10:28.145,297.56
00:10:28.227,297.56
00:10:28.309,297.59
00:10:28.391,297.53
00:10:28.474,297.56
00:10:28.556,297.57
00:10:28.638,297.62
00:10:28.721,297.60
00:10:28.803,297.64
00:10:28.885,297.60
00:10:28.968,297.56
00:10:29.063,297.51
00:10:29.146,297.61
00:10:29.228,297.62
00:10:29.310,297.59
00:10:29.393,297.60
00:10:29.475,297.68
00:10:29.557,297.66
00:10:29.640,297.59
00:10:29.722,297.68
00:10:29.804,297.67
00:10:29.887,297.61
00:10:29.969,297.74
00:10:30.051,297.64
00:10:30.134,297.60
00:10:30.216,297.67
00:10:30.299,297.66
00:10:30.394,297.68
00:10:30.476,297.70
00:10:30.559,297.72
00:10:30.641,297.68
00:10:30.724,297.68
00:10:30.806,297.64
00:10:30.888,297.67
00:10:30.970,297.60
00:10:31.053,297.67
00:10:31.135,297.70
00:10:31.217,297.68
00:10:31.300,297.62
00:10:31.382,297.63
00:10:31.464,297.67
00:10:31.547,297.60
00:10:31.629,297.62
00:10:31.725,297.62
00:10:31.807,297.56
00:10:31.889,297.57
00:10:31.972,297.61
00:10:32.054,297.62
00:10:32.136,297.68
00:10:32.219,297.63
00:10:32.301,297.70
00:10:32.383,297.62
00:10:32.466,297.66
00:10:32.548,297.70
00:10:32.630,297.64
00:10:32.713,297.68
00:10:32.795,297.66
00:10:32.877,297.64
00:10:32.960,297.67
00:10:33.056,297.60
00:10:33.138,297.68
00:10:33.220,297.70
00:10:33.302,297.70
00:10:33.385,297.70
00:10:33.467,297.74
00:10:33.549,297.70
00:10:33.632,297.67
00:10:33.714,297.68
00:10:33.796,297.68
00:10:33.879,297.70
00:10:33.961,297.70
00:10:34.043,297.63
00:10:34.126,297.64
